"","ID","TERRIT","TERRIT_NAME","STUDY_AREA","X","Y","habitat_hunting","habitat_forest","habitat_urban","biotic_annoyance","prey_abund_preferred","prey_abund_total","prey_supply","prey_supply_mass","breed_perform_init","breed_perform_final","breed_perform","breed_perform_pheno","adult_qual_timenest","adult_qual_timeterrmale","adult_qual_timeterrfem"
"11","2s10",2,"Alxan","Zona de Miguel",534706,4685693,0.086082466345934,0.362671352864477,-0.00382213504043208,0.0376666595680072,0.550753610948902,0.751640791752108,-1.12199094350947,-1.3647040489763,1.75335414493061,0.692832334820449,-0.646549501737493,0.109799972328353,-2.11660213252912,0.487983639476485,0.65517407617086
"12","2s20",2,"Alxan","Zona de Miguel",534967,4686038,0.769951957027403,-0.13328130356335,0.664113192992607,0.474599910556891,0.963991209993584,1.08885352763689,-0.523860054678546,-0.722992225344883,-0.961516789179654,-0.447147109706815,0.463544460841515,0.109799972328353,0.707673740404439,0.487983639476485,0.65517407617086
"13","2v08",7,"Canicouva","Zona de Miguel",531211,4692279,1.38521535078119,-0.579478394053271,1.26504094650906,0.911533161545774,1.24628128252265,1.13830877316272,-1.15198570812006,-1.34388018652027,-2.31895225623479,-1.58712655423408,0.463544460841515,3.55054602136591,-2.11660213252912,0.487983639476485,0.65517407617086
"14","2v09",7,"Canicouva","Zona de Miguel",531057,4692158,1.65958090685178,-0.77845189725885,1.53301378371278,0.911533161545774,1.49558551856198,1.34472736406144,-0.492100892086169,-0.506151632563071,-0.282799055652088,0.122842612556817,0.463544460841515,1.10580540757607,0.354639256287744,0.487983639476485,-1.29658184878357
"15","B06",21,"Poligono","Morrazo",516858,4684526,-0.412641239627633,0.221498782269125,-0.0507265383499769,-0.83619984240976,-0.209411479039655,-0.311165801961071,-0.211630367820582,0.356363105291827,-0.961516789179654,-0.447147109706815,0.463544460841515,0.426710792634444,0.707673740404439,0.487983639476485,0.74389025457788
"16","B34",6,"Cabalo","Morrazo",516003,4687466,0.51727636599983,-2.87253754538544,0.629880884083163,-0.399266591420876,-0.830755375781079,-0.737069016847921,NA,NA,1.75335414493061,-2.72710599876134,-3.97683138947452,-1.70111900084931,NA,0.884523759821649,-1.65144656241165
"17","B57",5,"Bifido","Morrazo",519955,4684996,-0.958382687082353,1.11943091483824,-1.02395124502458,0.0376666595680072,-0.964595491217119,-1.21431739357702,0.91165408045934,0.834871233992349,0.395918677875478,0.692832334820449,0.463544460841515,0.109799972328353,0.425246153111083,0.487983639476485,0.65517407617086
"18","B60",22,"Portela","Morrazo",518670,4683305,-0.431393759158098,0.423789757985433,-0.339999504755316,-0.83619984240976,-0.342960456567225,-0.515504192909612,-0.447108745170287,-0.216582441680699,-0.622157922415871,-0.732141970838631,-0.523205728117603,0.200345920987236,-0.392963180798165,-0.156394056084408,0.211593184135763
"19","B72",6,"Cabalo","Morrazo",516068,4687440,0.413457431316083,-2.93654795220624,0.522841557879236,-0.399266591420876,-0.999015146555247,-0.906823017300033,0.464303595011596,0.682783801601791,0.395918677875478,0.692832334820449,0.463544460841515,-1.42948115487266,-0.704464196062343,0.884523759821649,-0.0545553510852953
"20","B74",5,"Bifido","Morrazo",519962,4685225,-0.413334139775077,0.724154547914247,-0.491602331671484,0.911533161545774,-0.534339754285059,-0.748311005856131,0.0253087936671445,0.186425401137586,0.395918677875478,0.692832334820449,0.463544460841515,-0.0712919249894138,-0.0625833157731434,0.785388729735358,0.65517407617086
"21","b97",5,"Bifido","Morrazo",519866,4685122,-0.792118470998588,0.999541012151929,-0.861560986030279,0.474599910556891,-0.826844538458854,-1.06873463111413,1.01963523219361,0.437601255914618,-0.961516789179654,-0.447147109706815,0.463544460841515,-0.433475719624946,0.707673740404439,1.08279381999423,-1.65144656241165
"22","b98",21,"Poligono","Morrazo",516635,4684522,-0.515902130360718,0.266465340319806,-0.011554366280569,-0.83619984240976,-0.0936815142959997,-0.169164070119982,-0.367507255885016,0.810609747808919,1.75335414493061,1.83281177934771,0.463544460841515,0.743621612940535,0.472317417754118,-1.69298702242192,-1.65144656241165
"23","C10",13,"Hiocolegio","Morrazo",514779,4679307,1.00638161085527,-0.766900219147336,0.966189052164859,1.34846641253466,1.24366880963864,1.1980103151897,-1.75188099601259,-0.503664731871043,0.395918677875478,-0.447147109706815,-1.01658082259716,-0.52402166828383,0.707673740404439,0.487983639476485,-1.65144656241165
"24","C12",13,"Hiocolegio","Morrazo",514702,4679497,1.36149149189321,-0.680575767442615,1.31187565389659,0.911533161545774,1.47476635433833,1.42219452309687,-0.50437147711786,-0.452215344066886,-0.961516789179654,-1.01713683197045,-0.646549501737493,0.743621612940535,-2.11660213252912,0.487983639476485,0.74389025457788
"25","c13",13,"Hiocolegio","Morrazo",515264,4680177,0.445112650455362,-0.367012332723725,0.464117395614486,1.34846641253466,0.43857644514321,0.602438989147073,-0.816044347288979,-1.72136749521545,-0.961516789179654,-0.447147109706815,0.463544460841515,1.55853515087048,-2.11660213252912,0.487983639476485,-1.29658184878357
"26","C18",11,"Herbello","Morrazo",516905,4682076,-0.512251215268314,0.72631954358646,-0.493577022646925,-0.399266591420876,-0.376773328157614,-0.40039906784701,1.48755355601551,1.4407634351947,0.395918677875478,0.692832334820449,0.463544460841515,-1.24838925755489,0.707673740404439,0.487983639476485,0.65517407617086
"27","C32",12,"Hioclasico","Morrazo",513452,4680949,-0.173106627697559,-0.102240644704406,-0.176855261970328,-0.83619984240976,-0.161461528127292,-0.150139851775016,-1.82386842978223,-1.96835056116426,-0.961516789179654,-0.447147109706815,0.463544460841515,-0.614567616942713,-0.378586210680404,0.487983639476485,0.65517407617086
"28","C48",16,"Melide","Morrazo",511912,4679344,-1.11211633490263,-0.890393920842054,-0.955505359241692,-0.83619984240976,-1.73358175083116,-1.38578741518214,0.0478048665851804,-0.151522255958566,-0.961516789179654,-0.447147109706815,0.463544460841515,-0.52402166828383,0.00160477217104836,0.487983639476485,0.65517407617086
"29","C51",11,"Herbello","Morrazo",516785,4681827,-0.0352282726751959,0.449947218819864,-0.12230633321875,-0.399266591420876,-0.00982994214208559,-0.111959979321388,0.6956917769908,0.704391103141642,0.395918677875478,0.692832334820449,0.463544460841515,-0.614567616942713,0.505939749561307,0.487983639476485,0.832606432984899
"30","C66",16,"Melide","Morrazo",511928,4679396,-1.02509383347993,-0.692191443770813,-0.872632430119333,-0.83619984240976,-1.54820189666844,-1.22852561918413,0.244134233571092,0.0058209566434305,0.395918677875478,0.692832334820449,0.463544460841515,1.01525945891718,0.707673740404439,0.884523759821649,-1.29658184878357
"31","c75",12,"Hioclasico","Morrazo",513426,4680917,-0.263268030347356,0.165757926349924,-0.275844058642121,-0.83619984240976,-0.152251779137092,-0.150481920093352,NA,NA,0.395918677875478,0.692832334820449,0.463544460841515,-0.0712919249894138,NA,-2.08952714276708,0.65517407617086
"32","c78",11,"Herbello","Morrazo",516713,4681545,-0.125485146470166,0.516089774990047,-0.210460221390316,-0.83619984240976,-0.0694495795207184,-0.203455175684489,1.28187517227395,1.11959371486668,0.395918677875478,0.692832334820449,0.463544460841515,0.381437818305002,0.707673740404439,0.487983639476485,1.01003878979894
"33","c95",12,"Hioclasico","Morrazo",513451,4680952,-0.161175766481488,-0.138025817452308,-0.164381629181043,-0.83619984240976,-0.163461418898353,-0.151493958623577,-0.804677910036991,-0.836897006402013,0.395918677875478,-0.447147109706815,-1.01658082259716,-0.0712919249894138,0.707673740404439,0.487983639476485,0.65517407617086
"34","M10",15,"Matadero","Morrazo",523323,4691991,1.89723972173265,-1.79474814950654,1.93720990881344,3.97006591846796,1.44835363805066,1.38910666903234,-1.99183911073768,-0.969461657461999,-0.961516789179654,-0.447147109706815,0.463544460841515,1.92071894550602,0.707673740404439,-1.69298702242192,-1.29658184878357
"35","m123",4,"Antena","Morrazo",522571,4688750,-0.183353714765934,0.558068739337899,-0.266980451747309,-0.399266591420876,-0.0392651428206972,-0.0384481456397266,0.0478048665851804,-0.394192668515042,1.75335414493061,1.83281177934771,0.463544460841515,-0.795659514260479,0.707673740404439,0.487983639476485,0.65517407617086
"36","m15",9,"Embudo","Morrazo",525819,4691219,-0.530470399296525,0.62001669848612,-0.606009315743922,0.474599910556891,-0.555669732911734,-0.711217701463277,-0.222148012750495,-0.265185610797473,-0.961516789179654,-0.447147109706815,0.463544460841515,1.10580540757607,-1.76356764841243,-2.08952714276708,-1.29658184878357
"37","M77",4,"Antena","Morrazo",522415,4688683,-0.16861992700273,0.546684591796226,-0.252589961314729,-0.399266591420876,-0.0507050613612215,-0.0474127443932784,0.116364327472429,-0.140675842071671,0.395918677875478,0.122842612556817,-0.276518180877823,-0.795659514260479,0.707673740404439,-1.49471696224934,-1.47401420559761
"38","Mo02",20,"Pervido","Morrazo",523381,4684244,-1.26822961582931,1.07709624383075,-1.32657873873891,-0.83619984240976,-1.07251671385165,-0.975024910056347,0.227773453168901,0.438341051032081,0.395918677875478,0.692832334820449,0.463544460841515,-0.161837873648297,-2.11660213252912,-1.29644690207676,-1.65144656241165
"39","Mo03",20,"Pervido","Morrazo",523381,4684352,-1.36757406788921,1.14905004683196,-1.42360846455512,-0.83619984240976,-1.14396038657522,-1.05604783270806,0.356322443277327,-0.111925603145736,-0.961516789179654,-0.447147109706815,0.463544460841515,0.290891869646119,0.707673740404439,0.487983639476485,0.65517407617086
"40","Mo04",19,"Pedragrande","Morrazo",519706,4682179,-0.886190826061014,0.6646378977793,-0.953441454736155,-0.399266591420876,-0.808178688185166,-1.10787571931751,0.296992140067298,0.250357214850004,-0.961516789179654,-0.447147109706815,0.463544460841515,0.0192540236694694,0.707673740404439,0.686253699649067,-0.94171713515549
